Passengerid;Age;Fare;Sex;sibsp;Pclass;Embarked;Survived
1;22;725;0;1;3;2;0
2;38;712833;1;1;1;0;1
3;26;7925;1;0;3;2;1
4;35;531;1;1;1;2;1
5;35;805;0;0;3;2;0
6;28;84583;0;0;3;1;0
7;54;518625;0;0;1;2;0
8;2;21075;0;3;3;2;0
9;27;111333;1;0;3;2;1
10;14;300708;1;1;2;0;1
11;4;167;1;1;3;2;1
12;58;2655;1;0;1;2;1
13;20;805;0;0;3;2;0
14;39;31275;0;1;3;2;0
15;14;78542;1;0;3;2;0
16;55;16;1;0;2;2;1
17;2;29125;0;4;3;1;0
18;28;13;0;0;2;2;1
19;31;18;1;1;3;2;0
20;28;7225;1;0;3;0;1
21;35;26;0;0;2;2;0
22;34;13;0;0;2;2;1
23;15;80292;1;0;3;1;1
24;28;355;0;0;1;2;1
25;8;21075;1;3;3;2;0
26;38;313875;1;1;3;2;1
27;28;7225;0;0;3;0;0
28;19;263;0;3;1;2;0
29;28;78792;1;0;3;1;1
30;28;78958;0;0;3;2;0
31;40;277208;0;0;1;0;0
32;28;1465208;1;1;1;0;1
33;28;775;1;0;3;1;1
34;66;105;0;0;2;2;0
35;28;821708;0;1;1;0;0
36;42;52;0;1;1;2;0
37;28;72292;0;0;3;0;1
38;21;805;0;0;3;2;0
39;18;18;1;2;3;2;0
40;14;112417;1;1;3;0;1
41;40;9475;1;1;3;2;0
42;27;21;1;1;2;2;0
43;28;78958;0;0;3;0;0
44;3;415792;1;1;2;0;1
45;19;78792;1;0;3;1;1
46;28;805;0;0;3;2;0
47;28;155;0;1;3;1;0
48;28;775;1;0;3;1;1
49;28;216792;0;2;3;0;0
50;18;178;1;1;3;2;0
51;7;396875;0;4;3;2;0
52;21;78;0;0;3;2;0
53;49;767292;1;1;1;0;1
54;29;26;1;1;2;2;1
55;65;619792;0;0;1;0;0
56;28;355;0;0;1;2;1
57;21;105;1;0;2;2;1
58;285;72292;0;0;3;0;0
59;5;2775;1;1;2;2;1
60;11;469;0;5;3;2;0
61;22;72292;0;0;3;0;0
62;38;80;1;0;1;;1
63;45;83475;0;1;1;2;0
64;4;279;0;3;3;2;0
65;28;277208;0;0;1;0;0
66;28;152458;0;1;3;0;1
67;29;105;1;0;2;2;1
68;19;81583;0;0;3;2;0
69;17;7925;1;4;3;2;1
70;26;86625;0;2;3;2;0
71;32;105;0;0;2;2;0
72;16;469;1;5;3;2;0
73;21;735;0;0;2;2;0
74;26;144542;0;1;3;0;0
75;32;564958;0;0;3;2;1
76;25;765;0;0;3;2;0
77;28;78958;0;0;3;2;0
78;28;805;0;0;3;2;0
79;83;29;0;0;2;2;1
80;30;12475;1;0;3;2;1
81;22;9;0;0;3;2;0
82;29;95;0;0;3;2;1
83;28;77875;1;0;3;1;1
84;28;471;0;0;1;2;0
85;17;105;1;0;2;2;1
86;33;1585;1;3;3;2;1
87;16;34375;0;1;3;2;0
88;28;805;0;0;3;2;0
89;23;263;1;3;1;2;1
90;24;805;0;0;3;2;0
91;29;805;0;0;3;2;0
92;20;78542;0;0;3;2;0
93;46;61175;0;1;1;2;0
94;26;20575;0;1;3;2;0
95;59;725;0;0;3;2;0
96;28;805;0;0;3;2;0
